LocusID	Probes	Family	Differentially expressed in	Tos17 Flanking tag in genomic region	Tos17 Flanking tag in 2Kb upstream region	7-d-seedlg-salt_GSE6901;7-d-old seedling (Indica)	CSR27-10-d-seedlg-salt_GSE16108;Seedling 10-d after germination (CSR27)	FL478-rt-salt_GSE13735;Roots (FL478)	FL478-rt-30-d-plant-salt_GSE14403;Roots in 30-d-old plant (FL478)	IR29-rt-salt_GSE13735;Roots (IR29)	IR29-rt-30-d-plant-salt_GSE14403;Roots in 30-d-old plant (IR29)	IR63731-rt-30-d-plant-salt_GSE14403;Roots in 30-d-old plant (IR63731)	MI48-10-d-seedlg-salt_GSE16108;Seedling 10-d after germination (MI48)	Pok-rt-30-d-plant-salt_GSE14403;Roots in 30-d-old plant (Pokkali)	7-d-seedlg-drought_GSE6901;7-d-old seedling (Indica)	Azu-lf-83-d-plant-drought_GSE24048;Leaf in 83-d-old plant (Azucena)	Bal-lf-83-d-plant-drought_GSE24048;Leaf in 83-d-old plant (Bala)	lf-boot-stg-drought_GSE26280;Leaves at booting stage (IR64)	lf-pan-elongn-stg-drought_GSE26280;Leaves at panicle elongation stage (IR64)	lf-tiller-stg-drought_GSE26280;Leaves at tillering stage (IR64)	rt-pan-elongn-stg-drought_GSE26280;Roots at panicle elongation stage (IR64)	rt-tiller-stg-drought_GSE26280;Roots at tillering stage (IR64)	young-pan-boot-stg-drought_GSE26280;Young panicle at booting stage (IR64)
LOC_Os01g43550	Os.57382.1.S1_at	WRKY	Drought	--	--	-1.1280904	1.0048810	-1.0176350	-1.0176350	-1.1663781	-1.1663781	1.7518737	-1.0753996	1.1351274	-2.0601810	1.0484540	-1.0198681	-1.0014236	2.2919312	1.0054804	1.8200772	-1.6961486	-1.0045980
LOC_Os12g32140	OsAffx.14528.2.S1_x_at	FAR1	--	--	--	1.0147251	1.0295357	-1.0022925	-1.0022925	1.0602763	1.0602763	-1.0120602	-1.0166560	-1.0108975	1.0112981	-1.0012956	1.4013366	1.0270050	1.0402083	-1.0187424	1.0209738	1.0203226	1.0001312
LOC_Os10g26620	Os.5736.1.S1_s_at	C2C2-Dof	Salinity;Drought	--	--	3.9495616	1.6190163	-1.2508903	-1.2508903	-1.0253133	-1.0253133	-1.1903142	2.8718555	-1.0550257	-3.2064180	1.6595225	1.2733203	3.8587275	4.8062190	2.1301608	-2.2851820	-1.2615361	2.6637860
LOC_Os07g48150	Os.54703.1.S1_at	OFP	--	--	--	1.1652931	-1.0901896	-1.0201913	-1.0201913	1.0137025	1.0137025	-1.0382770	-1.1386323	1.4357967	-1.0957307	-1.0499293	-1.0089729	-1.1347994	-1.0328737	-1.1579330	-1.1077275	1.2163662	1.1024156
LOC_Os10g33810	Os.3387.1.S1_at	MYB	Salinity;Drought	--	--	9.6586380	2.5893009	-1.3719229	-1.3719229	1.1227608	1.1227608	2.7273420	6.3981740	-1.4410015	-11.5435140	2.0433905	-1.1950992	-1.0948343	3.7478910	-1.7796118	-1.7179478	-1.9097487	-1.1489500
LOC_Os06g51450	Os.5716.1.S1_at	PHD	Salinity;Drought	--	--	1.5631288	1.1151000	1.1400472	1.1400472	1.0611523	1.0611523	1.1626176	2.3366992	1.1507275	-1.9279032	1.8249695	1.2643510	3.6262486	6.3715030	2.5096433	1.0765944	-1.3056186	1.0187061
LOC_Os08g23880	OsAffx.5908.1.S1_at	NAC	--	--	--	-1.0191296	1.0549381	1.0002561	1.0002561	-1.0029590	-1.0029590	-1.0047033	-1.0780904	-1.0083907	1.0164853	1.0065031	-1.0025860	-1.0210929	1.1340770	-1.0106788	-1.0188216	1.0157433	1.0017296
LOC_Os02g04640	Os.52219.1.A1_at	G2-like	Salinity;Drought	FT911097;FT911084;FT911083;FT910994;FT910993;FT910975;FT910967;FT910963;FT910960;FT910953;FT910950;FT910949;FT926199;FT926163;FT926106;FT914956;FT929806;FT918262;FT881012;FT914128;FT906068;FT913946;FT913914;FT913909;FT913876;FT913875;FT913812;FT913806;FT932075;FT928405;FT924569;FT921352;FT920974;FT920956;FT920954;FT920951;FT920881;FT920867;FT920864;FT920858;FT920796;FT920790;FT878875;FT927113;FT930306;FT930287;FT930283;FT930278;FT930250;FT930247;FT930154;FT930152;FT930128;FT930104;FT930097;FT922855;FT878140;FT911553;FT911552;FT911550;FT911549;FT911546;FT911544;FT872450;FT898495;FT898476;FT898454;FT898421;FT889735;AB155789;AB157145;AB155622;AG212070;AG211430;AG211129;AG210954;AG209786;AG208946;AG208897;AG208433;AG208348;AG206658;AG023094;AG022812;CU315835	--	20.1053140	3.2290769	-1.6813349	-1.6813349	1.2087367	1.2087367	-1.1865436	5.3251767	1.4739970	-8.5974280	1.3372815	-1.8241560	1.4131128	26.7672730	5.0237374	6.6291313	3.5544810	2.9009883
LOC_Os12g03290	Os.16683.1.S1_at	AP2-EREBP	Drought	--	--	1.1833311	-1.2311203	1.0943484	1.0943484	-1.1406653	-1.1406653	-1.2102195	1.8828969	1.0127145	-1.1943360	-1.0285038	-1.1601032	1.2536753	4.8225746	1.6014764	-1.3863692	-2.3859103	-2.5309100
LOC_Os06g12050	OsAffx.27578.1.S1_at	mTERF	Drought	--	--	1.0565559	-1.1430418	1.2482597	1.2482597	1.1694181	1.1694181	-1.0157814	1.1074662	1.0541468	1.0882212	2.6023865	2.1134605	-1.0133764	-1.2671393	-1.0510772	1.5509210	1.3617463	1.1879464
